src_ip,dst_ip,src_vlan,dst_vlan,bytes
10.1.0.14,10.1.0.20,3,1,3120
10.2.0.15,10.3.0.10,1,2,4104
10.3.0.15,10.3.0.20,1,2,5509
10.3.0.14,10.3.0.12,1,1,3825
10.1.0.13,10.1.0.16,2,1,2758
10.1.0.13,10.1.0.15,2,2,19880
10.3.0.21,10.3.0.10,2,2,4392
10.1.0.18,10.1.0.13,2,2,14412
10.2.0.12,10.2.0.16,2,1,760
10.1.0.14,10.1.0.20,3,1,6755
10.3.0.18,10.3.0.15,2,1,5173
10.3.0.10,10.3.0.14,2,1,23490
10.3.0.16,10.3.0.15,3,1,10440
10.3.0.13,10.2.0.14,2,2,15827
10.1.0.12,10.1.0.18,2,2,23142
10.1.0.11,10.1.0.16,1,1,22540
10.1.0.11,10.2.0.15,1,1,2259
10.1.0.16,10.1.0.21,1,2,12908
10.3.0.20,10.3.0.17,2,2,14840
10.1.0.13,10.1.0.15,2,2,5551
10.3.0.11,10.3.0.16,2,3,904
10.2.0.21,10.2.0.13,2,2,11616
10.2.0.17,10.2.0.21,1,2,3897
10.3.0.10,10.3.0.12,2,1,14421
10.2.0.11,10.2.0.12,1,2,2706
10.3.0.13,10.3.0.19,2,1,16592
10.2.0.14,10.2.0.18,2,1,3872
10.2.0.20,10.1.0.10,2,1,10332
10.2.0.18,10.2.0.12,1,2,10052
10.1.0.16,10.1.0.18,1,2,3264
10.3.0.16,10.3.0.15,3,1,7248
10.1.0.14,10.1.0.20,3,1,1720
10.3.0.11,10.1.0.17,2,1,4760
10.3.0.10,10.3.0.20,2,2,9152
10.1.0.13,10.1.0.10,2,1,2662
10.3.0.11,10.1.0.21,2,2,1356
10.3.0.21,10.3.0.19,2,1,17600
10.3.0.11,10.1.0.16,2,1,21840
10.2.0.21,10.2.0.15,2,1,4905
10.1.0.15,10.1.0.20,2,1,3265
10.1.0.21,10.1.0.17,2,1,5120
10.1.0.16,10.1.0.10,1,1,12468
10.3.0.15,10.3.0.18,1,2,5820
10.2.0.18,10.2.0.13,1,2,1512
10.1.0.19,10.2.0.17,2,1,590
10.1.0.10,10.1.0.11,1,1,9620
10.3.0.21,10.3.0.11,2,2,18508
10.2.0.12,10.2.0.17,2,1,3744
10.2.0.15,10.2.0.13,1,2,13420
10.3.0.20,10.3.0.12,2,1,5376
10.2.0.11,10.1.0.11,1,1,15498
10.3.0.18,10.3.0.14,2,1,2688
10.2.0.10,10.2.0.18,2,1,4382
10.1.0.21,10.3.0.19,2,1,5220
10.2.0.10,10.2.0.21,2,2,17765
10.1.0.13,10.1.0.10,2,1,3393
10.2.0.21,10.2.0.14,2,2,1424
10.1.0.10,10.1.0.17,1,1,19520
10.2.0.18,10.2.0.21,1,2,4784
10.3.0.13,10.3.0.19,2,1,792
10.3.0.19,10.3.0.13,1,2,13552
10.2.0.12,10.2.0.15,2,1,14861
10.1.0.10,10.1.0.19,1,2,10274
10.3.0.12,10.3.0.21,1,2,15011
10.2.0.13,10.2.0.17,2,1,12142
10.2.0.17,10.2.0.16,1,1,562
10.2.0.15,10.2.0.21,1,2,10234
10.2.0.20,10.2.0.11,2,1,11704
10.3.0.20,10.3.0.19,2,1,1184
10.3.0.19,10.3.0.10,1,2,1603
10.2.0.10,10.2.0.16,2,1,1668
10.2.0.13,10.2.0.20,2,2,1870
10.3.0.19,10.3.0.20,1,2,562
10.3.0.13,10.3.0.19,2,1,4053
10.2.0.20,10.2.0.15,2,1,955
10.3.0.17,10.3.0.10,2,2,8379
10.3.0.21,10.3.0.17,2,2,7898
10.3.0.21,10.3.0.18,2,2,5202
10.3.0.20,10.3.0.13,2,2,18122
10.2.0.13,10.2.0.15,2,1,6865
10.1.0.13,10.1.0.21,2,2,11096
10.3.0.18,10.3.0.20,2,2,20400
10.1.0.19,10.1.0.21,2,2,8844
10.2.0.11,10.2.0.12,1,2,4472
10.3.0.21,10.3.0.10,2,2,9660
10.1.0.10,10.1.0.19,1,2,18672
10.3.0.21,10.3.0.13,2,2,15030
10.3.0.18,10.3.0.11,2,2,1674
10.2.0.14,10.2.0.11,2,1,5283
10.2.0.12,10.2.0.17,2,1,15636
10.2.0.13,10.2.0.10,2,2,4440
10.3.0.11,10.1.0.19,2,2,4016
10.3.0.20,10.3.0.11,2,2,2702
10.1.0.15,10.1.0.16,2,1,9304
10.3.0.21,10.3.0.10,2,2,9696
10.2.0.16,10.2.0.12,1,2,18658
10.3.0.14,10.3.0.17,1,2,2904
10.3.0.19,10.3.0.15,1,1,1195
10.3.0.19,10.3.0.17,1,2,3036
10.1.0.13,10.1.0.15,2,2,7848
10.2.0.15,10.2.0.16,1,1,6629
10.3.0.12,10.3.0.17,1,2,23000
10.1.0.18,10.1.0.15,2,2,3906
10.1.0.16,10.1.0.18,1,2,4430
10.1.0.18,10.1.0.15,2,2,4202
10.1.0.21,10.2.0.19,2,1,3908
10.1.0.19,10.1.0.13,2,2,13216
10.3.0.14,10.3.0.17,1,2,2688
10.2.0.13,10.2.0.20,2,2,13494
10.2.0.11,10.2.0.18,1,1,12060
10.1.0.19,10.1.0.16,2,1,26505
10.1.0.10,10.1.0.16,1,1,17744
10.2.0.19,10.2.0.14,1,2,7818
10.2.0.20,10.2.0.14,2,2,4002
10.1.0.14,10.1.0.10,3,1,14806
10.2.0.20,10.2.0.16,2,1,5810
10.2.0.19,10.2.0.12,1,2,13560
10.1.0.15,10.1.0.20,2,1,6245
10.1.0.17,10.1.0.12,1,2,4140
10.3.0.17,10.3.0.18,2,2,14145
10.3.0.19,10.3.0.12,1,1,8708
10.3.0.19,10.3.0.16,1,3,6955
10.2.0.19,10.2.0.10,1,2,17052
10.2.0.11,10.2.0.17,1,1,6360
10.1.0.12,10.1.0.10,2,1,19024
10.1.0.17,10.1.0.16,1,1,17121
10.1.0.18,10.1.0.10,2,1,15732
10.3.0.18,10.3.0.21,2,2,7254
10.3.0.18,10.3.0.11,2,2,11646
10.3.0.13,10.3.0.19,2,1,7200
10.1.0.20,10.1.0.15,1,2,9960
10.3.0.21,10.3.0.13,2,2,3502
10.3.0.15,10.3.0.20,1,2,3060
10.2.0.12,10.1.0.13,2,2,8040
10.2.0.13,10.2.0.20,2,2,18074
10.1.0.15,10.1.0.12,2,2,3409
10.1.0.10,10.1.0.20,1,1,2782
10.1.0.14,10.1.0.11,3,1,3816
10.1.0.18,10.1.0.10,2,1,19422
10.1.0.21,10.1.0.18,2,2,1939
10.3.0.19,10.3.0.16,1,3,1698
10.2.0.12,10.2.0.20,2,2,16450
10.3.0.10,10.3.0.16,2,3,1068
10.2.0.10,10.2.0.19,2,1,2312
10.1.0.10,10.1.0.19,1,2,7612
10.2.0.19,10.2.0.11,1,1,5470
10.3.0.11,10.3.0.10,2,2,6565
10.3.0.20,10.2.0.17,2,1,5192
10.1.0.15,10.1.0.13,2,2,6360
10.2.0.16,10.2.0.19,1,1,3360
10.2.0.15,10.2.0.19,1,1,5656
10.1.0.17,10.2.0.16,1,1,12624
10.1.0.15,10.1.0.21,2,2,9072
10.3.0.21,10.3.0.16,2,3,13216
10.1.0.18,10.1.0.11,2,1,7038
10.2.0.19,10.2.0.13,1,2,7760
10.3.0.11,10.3.0.12,2,1,11124
10.3.0.17,10.3.0.15,2,1,8080
10.1.0.21,10.1.0.16,2,1,1170
10.3.0.11,10.1.0.13,2,2,6580
10.1.0.13,10.1.0.14,2,3,12529
10.1.0.15,10.1.0.11,2,1,11940
10.3.0.17,10.3.0.14,2,1,6307
10.1.0.12,10.1.0.19,2,2,12886
10.1.0.16,10.1.0.15,1,2,4059
10.3.0.17,10.3.0.21,2,2,2367
10.1.0.14,10.1.0.12,3,2,10240
10.3.0.10,10.3.0.13,2,2,16068
10.2.0.15,10.2.0.14,1,2,5607
10.2.0.15,10.1.0.17,1,1,5677
10.2.0.17,10.2.0.21,1,2,9493
10.3.0.10,10.2.0.20,2,2,24358
10.2.0.10,10.2.0.11,2,1,2709
10.1.0.20,10.1.0.12,1,2,20775
10.2.0.13,10.2.0.11,2,1,5322
10.2.0.11,10.3.0.10,1,2,14943
10.2.0.21,10.2.0.20,2,2,26486
10.3.0.16,10.1.0.20,3,1,13860
10.3.0.21,10.1.0.17,2,1,11254
10.2.0.15,10.2.0.11,1,1,2646
10.3.0.15,10.3.0.21,1,2,13260
10.2.0.21,10.2.0.13,2,2,20745
10.3.0.20,10.3.0.13,2,2,8640
10.1.0.16,10.1.0.18,1,2,4334
10.1.0.19,10.1.0.20,2,1,17456
10.3.0.12,10.3.0.20,1,2,21335
10.3.0.20,10.1.0.20,2,1,810
10.1.0.20,10.1.0.17,1,1,2145
10.3.0.21,10.3.0.19,2,1,5944
10.1.0.14,10.1.0.13,3,2,1382
10.1.0.20,10.2.0.19,1,1,18465
10.1.0.10,10.1.0.19,1,2,20895
10.1.0.11,10.1.0.16,1,1,2217
10.2.0.10,10.2.0.13,2,2,17955
10.2.0.14,10.2.0.17,2,1,6994
10.2.0.20,10.2.0.10,2,2,6417
10.2.0.13,10.2.0.18,2,1,4176
10.1.0.21,10.1.0.11,2,1,5630
10.2.0.21,10.2.0.14,2,2,1876
10.3.0.18,10.3.0.11,2,2,1656
10.2.0.17,10.2.0.19,1,1,13800
10.1.0.20,10.1.0.15,1,2,2812
10.3.0.20,10.3.0.14,2,1,9443
10.1.0.19,10.1.0.16,2,1,12207
10.1.0.15,10.1.0.19,2,2,21029
10.3.0.13,10.3.0.19,2,1,6128
10.1.0.11,10.1.0.13,1,2,8358
10.2.0.14,10.2.0.19,2,1,3920
10.3.0.17,10.3.0.15,2,1,7560
10.3.0.20,10.3.0.21,2,2,10881
10.3.0.21,10.3.0.12,2,1,10824
10.1.0.15,10.1.0.12,2,2,2769
10.3.0.10,10.3.0.17,2,2,11676
10.3.0.17,10.3.0.16,2,3,754
10.3.0.20,10.2.0.11,2,1,11781
10.3.0.15,10.3.0.13,1,2,1624
10.2.0.14,10.1.0.20,2,1,4313
10.3.0.14,10.2.0.10,1,2,2646
10.3.0.21,10.3.0.11,2,2,958
10.2.0.19,10.2.0.15,1,1,12330
10.1.0.10,10.2.0.15,1,1,14154
10.1.0.11,10.2.0.12,1,2,19348
10.3.0.20,10.1.0.11,2,1,2943
10.2.0.13,10.2.0.14,2,2,16544
10.2.0.20,10.2.0.21,2,2,17658
10.3.0.20,10.3.0.18,2,2,7464
10.2.0.17,10.3.0.17,1,2,9936
10.3.0.12,10.3.0.10,1,2,4067
10.1.0.15,10.1.0.12,2,2,8120
10.2.0.10,10.2.0.12,2,2,9306
10.1.0.15,10.1.0.12,2,2,19080
10.1.0.21,10.1.0.12,2,2,2312
10.1.0.16,10.1.0.17,1,1,16068
10.2.0.13,10.2.0.12,2,2,1800
10.3.0.14,10.3.0.17,1,2,5055
10.2.0.21,10.2.0.12,2,2,7280
10.3.0.16,10.3.0.17,3,2,5020
10.3.0.10,10.1.0.11,2,1,18570
10.1.0.18,10.1.0.17,2,1,6232
10.1.0.15,10.3.0.13,2,2,14113
10.2.0.21,10.2.0.16,2,1,9648
10.2.0.11,10.2.0.13,1,2,1785
10.1.0.20,10.1.0.21,1,2,3234
10.3.0.12,10.3.0.10,1,2,4845
10.1.0.12,10.1.0.10,2,1,16344
10.1.0.10,10.1.0.21,1,2,9680
10.2.0.13,10.2.0.15,2,1,19700
10.3.0.15,10.3.0.13,1,2,2580
10.3.0.19,10.3.0.14,1,1,12816
10.1.0.10,10.1.0.16,1,1,4265
10.1.0.16,10.1.0.11,1,1,2907
10.2.0.16,10.2.0.14,1,2,4994
10.2.0.13,10.2.0.19,2,1,17262
10.3.0.10,10.3.0.19,2,1,3510
10.1.0.13,10.1.0.19,2,2,24940
10.2.0.13,10.1.0.20,2,1,6000
10.2.0.15,10.2.0.12,1,2,6096
10.2.0.20,10.2.0.14,2,2,19830
10.3.0.20,10.3.0.14,2,1,2835
10.2.0.18,10.1.0.18,1,2,6912
10.1.0.11,10.1.0.20,1,1,11250
10.2.0.13,10.2.0.12,2,2,2356
10.3.0.10,10.2.0.17,2,1,1612
10.1.0.13,10.2.0.14,2,2,12631
10.3.0.11,10.3.0.13,2,2,10544
10.1.0.10,10.1.0.12,1,2,9632
10.1.0.18,10.1.0.11,2,1,822
10.1.0.14,10.1.0.11,3,1,7912
10.1.0.10,10.1.0.17,1,1,4868
10.2.0.20,10.2.0.18,2,1,4305
10.3.0.21,10.3.0.17,2,2,15568
10.1.0.21,10.1.0.19,2,2,6160
10.1.0.19,10.1.0.13,2,2,3285
10.1.0.13,10.1.0.10,2,1,3321
10.1.0.19,10.3.0.20,2,2,12732
10.2.0.21,10.3.0.14,2,1,3276
10.1.0.11,10.1.0.18,1,2,13680
10.3.0.17,10.3.0.11,2,2,8738
10.1.0.21,10.1.0.17,2,1,22477
10.3.0.18,10.3.0.10,2,2,11020
10.3.0.14,10.3.0.17,1,2,15822
10.3.0.17,10.3.0.12,2,1,2460
10.1.0.19,10.1.0.10,2,1,5785
10.2.0.18,10.2.0.13,1,2,8749
10.1.0.15,10.1.0.21,2,2,5670
10.1.0.10,10.1.0.11,1,1,4025
10.2.0.21,10.2.0.13,2,2,1432
10.2.0.14,10.2.0.16,2,1,10234
10.3.0.10,10.3.0.21,2,2,20482
10.1.0.20,10.1.0.11,1,1,10455
10.3.0.14,10.3.0.20,1,2,1508
10.2.0.13,10.2.0.10,2,2,5868
10.1.0.14,10.2.0.16,3,1,3052
10.2.0.19,10.2.0.18,1,1,2920
10.3.0.21,10.3.0.20,2,2,9960
10.3.0.10,10.3.0.21,2,2,1665
10.3.0.17,10.3.0.19,2,1,9804
10.1.0.19,10.1.0.15,2,2,20620
10.1.0.15,10.1.0.13,2,2,20480
10.2.0.20,10.2.0.12,2,2,5270
10.1.0.21,10.3.0.20,2,2,4900
10.2.0.11,10.1.0.11,1,1,4770
10.3.0.17,10.2.0.17,2,1,6878
10.3.0.17,10.3.0.19,2,1,9684
10.1.0.12,10.1.0.10,2,1,11648
10.3.0.13,10.3.0.11,2,2,3344
10.1.0.14,10.1.0.13,3,2,8162
10.3.0.19,10.3.0.18,1,2,502
10.1.0.17,10.1.0.10,1,1,14943
10.1.0.19,10.3.0.11,2,2,17040
10.1.0.12,10.2.0.10,2,2,17000
10.3.0.17,10.3.0.19,2,1,1148
10.3.0.20,10.3.0.11,2,2,2303
10.1.0.13,10.1.0.14,2,3,3072
10.1.0.21,10.1.0.10,2,1,5880
10.2.0.18,10.2.0.19,1,1,2820
10.1.0.19,10.3.0.21,2,2,8652
10.2.0.13,10.2.0.21,2,2,11647
10.3.0.16,10.3.0.14,3,1,6015
10.3.0.13,10.3.0.12,2,1,13870
10.1.0.16,10.3.0.10,1,2,17046
10.1.0.13,10.2.0.21,2,2,1308
10.3.0.18,10.1.0.11,2,1,3444
10.1.0.12,10.1.0.16,2,1,19575
10.1.0.15,10.1.0.13,2,2,9170
10.3.0.19,10.2.0.10,1,2,9248
10.1.0.12,10.1.0.11,2,1,10040
10.1.0.14,10.1.0.10,3,1,24263
10.2.0.13,10.2.0.17,2,1,4835
10.3.0.16,10.1.0.12,3,2,7427
10.2.0.20,10.2.0.12,2,2,13328
10.3.0.10,10.3.0.19,2,1,4628
10.1.0.14,10.3.0.15,3,1,12683
10.1.0.11,10.3.0.21,1,2,2964
10.2.0.16,10.2.0.15,1,1,23364
10.3.0.21,10.3.0.17,2,2,14135
10.2.0.16,10.2.0.14,1,2,5415
10.1.0.15,10.1.0.18,2,2,13470
10.3.0.20,10.3.0.12,2,1,14448
10.3.0.11,10.3.0.15,2,1,9860
10.1.0.19,10.1.0.20,2,1,5909
10.1.0.12,10.3.0.15,2,1,544
10.1.0.21,10.1.0.19,2,2,2256
10.1.0.13,10.2.0.18,2,1,3290
10.3.0.16,10.2.0.18,3,1,1785
10.1.0.15,10.1.0.10,2,1,20670
10.3.0.17,10.3.0.12,2,1,4320
10.2.0.13,10.2.0.12,2,2,10856
10.1.0.14,10.1.0.20,3,1,13840
10.1.0.11,10.1.0.13,1,2,17620
10.1.0.19,10.1.0.20,2,1,16848
10.2.0.13,10.2.0.12,2,2,5049
10.2.0.20,10.2.0.11,2,1,7543
10.2.0.11,10.2.0.15,1,1,7578
10.1.0.13,10.1.0.15,2,2,3147
10.2.0.14,10.2.0.21,2,2,15979
10.3.0.11,10.3.0.20,2,2,11396
10.3.0.18,10.3.0.20,2,2,2598
10.2.0.12,10.2.0.16,2,1,22016
10.3.0.10,10.3.0.17,2,2,5599
10.3.0.13,10.3.0.19,2,1,27900
10.2.0.14,10.2.0.19,2,1,22240
10.2.0.12,10.2.0.14,2,2,22080
10.3.0.12,10.3.0.13,1,2,1666
10.3.0.18,10.2.0.10,2,2,4968
10.1.0.12,10.1.0.17,2,1,3396
10.1.0.21,10.1.0.12,2,2,4100
10.3.0.17,10.1.0.18,2,2,6432
10.2.0.13,10.1.0.11,2,1,2321
10.1.0.15,10.1.0.19,2,2,9218
10.3.0.12,10.3.0.21,1,2,6144
10.2.0.11,10.2.0.10,1,2,2562
10.2.0.13,10.2.0.10,2,2,6832
10.1.0.11,10.1.0.16,1,1,8730
10.1.0.13,10.1.0.19,2,2,11143
10.3.0.13,10.3.0.18,2,2,5070
10.3.0.15,10.2.0.19,1,1,11018
10.2.0.12,10.2.0.19,2,1,5460
10.2.0.11,10.2.0.21,1,2,482
10.1.0.10,10.1.0.15,1,2,3390
10.2.0.20,10.1.0.15,2,2,11210
10.1.0.17,10.1.0.10,1,1,22320
10.2.0.11,10.2.0.12,1,2,3175
10.3.0.18,10.3.0.14,2,1,3783
10.3.0.13,10.3.0.10,2,2,12420
10.3.0.11,10.3.0.21,2,2,15296
10.3.0.14,10.3.0.19,1,1,14640
10.3.0.18,10.3.0.11,2,2,4110
10.3.0.14,10.3.0.17,1,2,10348
10.2.0.11,10.2.0.10,1,2,8808
10.2.0.15,10.2.0.14,1,2,4048
10.3.0.15,10.3.0.18,1,2,5112
10.3.0.19,10.3.0.17,1,2,1320
10.3.0.15,10.3.0.11,1,2,6408
10.2.0.14,10.2.0.20,2,2,1384
10.3.0.14,10.3.0.18,1,2,8636
10.2.0.16,10.2.0.18,1,1,16596
10.1.0.13,10.1.0.15,2,2,13590
10.2.0.20,10.2.0.12,2,2,9195
10.2.0.10,10.1.0.18,2,2,18576
10.1.0.21,10.1.0.19,2,2,1232
10.3.0.13,10.3.0.18,2,2,10608
10.1.0.10,10.2.0.14,1,2,5035
10.2.0.19,10.2.0.18,1,1,20672
10.1.0.10,10.1.0.15,1,2,3120
10.2.0.14,10.2.0.16,2,1,3474
10.2.0.20,10.2.0.10,2,2,3639
10.2.0.19,10.1.0.17,1,1,9527
10.1.0.10,10.1.0.15,1,2,5291
10.3.0.17,10.3.0.11,2,2,11730
10.2.0.21,10.2.0.10,2,2,11565
10.3.0.15,10.3.0.16,1,3,13900
10.1.0.21,10.1.0.19,2,2,9512
10.3.0.20,10.3.0.15,2,1,1644
10.1.0.18,10.1.0.10,2,1,13547
10.3.0.21,10.3.0.20,2,2,5320
10.3.0.14,10.2.0.15,1,1,16677
10.1.0.15,10.1.0.11,2,1,16031
10.1.0.12,10.1.0.18,2,2,7505
10.3.0.10,10.2.0.20,2,2,15285
10.1.0.10,10.1.0.18,1,2,25700
10.2.0.11,10.2.0.19,1,1,9618
10.3.0.16,10.3.0.10,3,2,9438
10.2.0.21,10.2.0.10,2,2,3008
10.2.0.18,10.2.0.11,1,1,4842
10.3.0.19,10.3.0.15,1,1,20610
10.2.0.16,10.2.0.11,1,1,6444
10.3.0.12,10.1.0.10,1,1,5348
10.2.0.10,10.2.0.20,2,2,2200
10.1.0.20,10.1.0.12,1,2,7088
10.2.0.12,10.2.0.17,2,1,16770
10.1.0.21,10.1.0.17,2,1,10530
10.3.0.20,10.3.0.21,2,2,2538
10.2.0.18,10.2.0.12,1,2,23400
10.3.0.10,10.3.0.11,2,2,2409
10.1.0.20,10.2.0.13,1,2,15825
10.1.0.19,10.1.0.18,2,2,12080
10.3.0.18,10.3.0.11,2,2,3976
10.3.0.21,10.3.0.18,2,2,16380
10.3.0.15,10.3.0.13,1,2,14927
10.3.0.13,10.3.0.10,2,2,14080
10.1.0.21,10.1.0.19,2,2,3208
10.3.0.15,10.3.0.21,1,2,10305
10.1.0.14,10.1.0.11,3,1,8800
10.1.0.14,10.1.0.21,3,2,2556
10.3.0.21,10.3.0.15,2,1,19465
10.1.0.14,10.1.0.16,3,1,5340
10.1.0.21,10.1.0.11,2,1,5068
10.3.0.17,10.3.0.12,2,1,1150
10.2.0.16,10.2.0.21,1,2,9550
10.3.0.21,10.3.0.17,2,2,1128
10.1.0.21,10.3.0.13,2,2,15090
10.2.0.21,10.2.0.14,2,2,2650
10.3.0.15,10.3.0.11,1,2,5226
10.1.0.18,10.3.0.16,2,3,10863
10.3.0.16,10.1.0.21,3,2,6640
10.2.0.16,10.3.0.18,1,2,3076
10.3.0.21,10.3.0.14,2,1,9360
10.1.0.15,10.1.0.13,2,2,12342
10.2.0.16,10.2.0.11,1,1,12600
10.2.0.11,10.2.0.21,1,2,16207
10.2.0.16,10.2.0.12,1,2,570
10.2.0.18,10.2.0.11,1,1,2860
10.1.0.20,10.1.0.21,1,2,1958
10.2.0.21,10.2.0.19,2,1,9340
10.3.0.18,10.3.0.20,2,2,6776
10.3.0.17,10.3.0.13,2,2,3753
10.3.0.18,10.3.0.17,2,2,13764
10.2.0.11,10.2.0.15,1,1,9872
10.1.0.10,10.1.0.21,1,2,10161
10.3.0.14,10.1.0.14,1,3,6306
10.1.0.20,10.1.0.13,1,2,21384
10.3.0.21,10.3.0.15,2,1,7720
10.3.0.18,10.3.0.21,2,2,9488
10.1.0.11,10.1.0.12,1,2,3072
10.3.0.17,10.3.0.18,2,2,3678
10.1.0.15,10.1.0.14,2,3,14460
10.2.0.10,10.2.0.20,2,2,6705
10.2.0.18,10.2.0.13,1,2,7728
10.2.0.18,10.2.0.14,1,2,8120
10.1.0.12,10.1.0.17,2,1,10920
10.1.0.13,10.2.0.20,2,2,15936
10.2.0.19,10.2.0.13,1,2,12749
10.1.0.14,10.1.0.21,3,2,2260
10.1.0.14,10.1.0.19,3,2,4004
10.1.0.21,10.1.0.17,2,1,9394
10.2.0.14,10.2.0.20,2,2,9064
10.1.0.16,10.1.0.17,1,1,9300
10.3.0.16,10.3.0.14,3,1,3530
10.2.0.19,10.2.0.15,1,1,12240
10.1.0.21,10.3.0.17,2,2,5696
10.2.0.12,10.2.0.14,2,2,17122
10.2.0.15,10.3.0.17,1,2,8632
10.1.0.20,10.3.0.12,1,1,4266
10.1.0.12,10.1.0.17,2,1,16016
10.1.0.18,10.1.0.11,2,1,5057
10.2.0.14,10.1.0.19,2,2,9780
10.1.0.19,10.1.0.18,2,2,12440
10.1.0.13,10.1.0.16,2,1,1322
10.2.0.11,10.2.0.13,1,2,16880
10.3.0.13,10.3.0.17,2,2,4600
10.1.0.21,10.1.0.15,2,2,14238
10.2.0.21,10.1.0.12,2,2,3000
10.1.0.11,10.1.0.15,1,2,9657
10.1.0.12,10.1.0.21,2,2,14856
10.2.0.20,10.2.0.16,2,1,5750
10.1.0.18,10.1.0.12,2,2,2792
10.1.0.15,10.1.0.14,2,3,5424
10.2.0.21,10.1.0.12,2,2,4540
10.1.0.19,10.3.0.20,2,2,15040
10.3.0.12,10.3.0.17,1,2,5256
10.1.0.11,10.1.0.16,1,1,4734
10.2.0.14,10.2.0.19,2,1,5416
10.1.0.18,10.1.0.10,2,1,1680
10.1.0.13,10.3.0.19,2,1,2022
10.3.0.18,10.1.0.21,2,2,7092
10.1.0.11,10.1.0.18,1,2,3672
10.3.0.15,10.3.0.13,1,2,12372
10.2.0.16,10.2.0.15,1,1,11121
10.1.0.10,10.1.0.20,1,1,4104
10.3.0.17,10.3.0.11,2,2,1068
10.2.0.18,10.2.0.11,1,1,5178
10.2.0.17,10.2.0.21,1,2,7380
10.1.0.19,10.3.0.10,2,2,12168
10.2.0.20,10.3.0.12,2,1,5690
10.2.0.20,10.2.0.19,2,1,5785
10.2.0.10,10.3.0.15,2,1,5308
10.1.0.17,10.1.0.15,1,2,12138
10.3.0.17,10.1.0.19,2,2,1280
10.2.0.10,10.2.0.14,2,2,20106
10.1.0.21,10.1.0.18,2,2,2558
10.2.0.12,10.1.0.13,2,2,8160
10.2.0.20,10.2.0.16,2,1,11820
10.1.0.21,10.1.0.10,2,1,13739
10.3.0.21,10.3.0.18,2,2,26160
10.2.0.14,10.2.0.13,2,2,6576
10.2.0.12,10.2.0.19,2,1,4914
10.3.0.12,10.2.0.12,1,2,10602
10.1.0.11,10.1.0.13,1,2,15977
10.2.0.19,10.2.0.20,1,2,6426
10.3.0.21,10.3.0.14,2,1,2772
10.1.0.16,10.1.0.15,1,2,1522
10.3.0.13,10.3.0.19,2,1,4607
10.3.0.20,10.3.0.16,2,3,8126
10.1.0.11,10.1.0.20,1,1,9580
10.3.0.16,10.3.0.19,3,1,13312
10.1.0.16,10.2.0.10,1,2,7216
10.1.0.18,10.1.0.14,2,3,3340
10.3.0.17,10.3.0.15,2,1,3390
10.3.0.16,10.1.0.20,3,1,13255
10.2.0.14,10.2.0.21,2,2,4000
10.1.0.16,10.1.0.21,1,2,3720
10.2.0.18,10.3.0.10,1,2,5024
10.1.0.21,10.3.0.20,2,2,4864
10.1.0.14,10.1.0.18,3,2,8996
10.1.0.19,10.1.0.20,2,1,18037
10.1.0.14,10.1.0.18,3,2,6048
10.2.0.14,10.1.0.21,2,2,14688
10.3.0.19,10.3.0.11,1,2,15810
10.3.0.21,10.3.0.18,2,2,1872
10.3.0.15,10.3.0.16,1,3,4920
10.2.0.16,10.2.0.14,1,2,7424
10.1.0.12,10.1.0.21,2,2,22980
10.3.0.21,10.2.0.12,2,2,5012
10.2.0.18,10.2.0.20,1,2,3842
10.3.0.14,10.3.0.13,1,2,3058
10.1.0.12,10.1.0.19,2,2,19950
10.2.0.17,10.2.0.12,1,2,8232
10.3.0.18,10.3.0.20,2,2,12960
10.1.0.21,10.1.0.19,2,2,6372
10.3.0.14,10.3.0.11,1,2,9600
10.3.0.17,10.3.0.18,2,2,3228
10.1.0.20,10.1.0.15,1,2,4212
10.2.0.13,10.2.0.11,2,1,1899
10.2.0.12,10.2.0.19,2,1,2684
10.2.0.21,10.3.0.17,2,2,7164
10.1.0.16,10.1.0.21,1,2,8340
10.1.0.18,10.1.0.19,2,2,4640
10.2.0.15,10.2.0.11,1,1,6021
10.3.0.21,10.3.0.13,2,2,6821
10.3.0.14,10.3.0.11,1,2,12034
10.1.0.21,10.1.0.14,2,3,9896
10.3.0.21,10.3.0.16,2,3,1480
10.2.0.19,10.2.0.12,1,2,6979
10.3.0.19,10.2.0.17,1,1,22940
10.1.0.13,10.1.0.15,2,2,14288
10.3.0.15,10.1.0.12,1,2,7506
10.2.0.21,10.2.0.15,2,1,3978
10.3.0.20,10.3.0.13,2,2,5733
10.1.0.19,10.1.0.18,2,2,2010
10.3.0.20,10.3.0.17,2,2,2527
10.2.0.16,10.2.0.21,1,2,13281
10.1.0.10,10.1.0.14,1,3,5985
10.2.0.21,10.2.0.20,2,2,5592
10.1.0.12,10.1.0.16,2,1,4990
10.2.0.16,10.2.0.10,1,2,7720
10.2.0.13,10.2.0.10,2,2,7227
10.2.0.13,10.2.0.15,2,1,3443
10.3.0.15,10.3.0.12,1,1,13409
10.1.0.16,10.1.0.13,1,2,10829
10.2.0.21,10.2.0.11,2,1,4650
10.1.0.21,10.1.0.20,2,1,19228
10.1.0.18,10.1.0.12,2,2,17616
10.3.0.18,10.3.0.19,2,1,5856
10.2.0.11,10.2.0.20,1,2,2080
10.1.0.12,10.2.0.20,2,2,10112
10.1.0.10,10.1.0.17,1,1,7656
10.2.0.15,10.2.0.16,1,1,7530
